istaigos_kodas;gydytojo_ID;iraso_sukurimo_data;Apylinkės tipas;Etatinis darbo krūvis
124244754;1212;2021-01-13 02:40:05;1;1
124244754;402;2021-01-13 02:40:05;4;1.25
124244754;539;2021-01-13 02:40:05;4;1
124244754;1302;2021-01-13 02:40:05;1;1
124244754;1123;2021-01-13 02:40:05;1;1
124244754;307;2021-01-13 02:40:05;4;1
124244754;1116;2021-01-13 02:40:05;1;1
124244754;444;2021-01-13 02:40:05;4;1
124244754;420;2021-01-13 02:40:05;4;1
124244754;306;2021-01-13 02:40:05;3;1
124244754;1121;2021-01-13 02:40:05;1;1
124244754;1403;2021-01-13 02:40:05;4;1
124244754;1119;2021-01-13 02:40:05;1;1
124244754;309;2021-01-13 02:40:05;4;1
124244754;411;2021-01-13 02:40:05;4;1
124244754;410;2021-01-13 02:40:05;4;1
124244754;1404;2021-01-13 02:40:05;4;1
124244754;469;2021-01-13 02:40:05;4;1
124244754;466;2021-01-13 02:40:05;4;1
124244754;1416;2021-01-13 02:40:05;4;1
124244754;448;2021-01-13 02:40:05;4;1
124244754;10318;2021-01-13 02:40:05;4;1
124244754;308;2021-01-13 02:40:05;4;1
124244754;415;2021-01-13 02:40:05;4;1
124244754;1120;2021-01-13 02:40:05;1;1
124244754;417;2021-01-13 02:40:05;4;1
124244754;1601;2021-01-13 02:40:05;4;0.5
124244754;404;2021-01-13 02:40:05;4;0.75
124244754;1413;2021-01-13 02:40:05;4;1
124244754;1117;2021-01-13 02:40:05;1;1
124244754;405;2021-01-13 02:40:05;4;1
124244754;302;2021-01-13 02:40:05;4;1
124244754;1410;2021-01-13 02:40:05;4;1
124244754;407;2021-01-13 02:40:05;4;0.5
124244754;1103;2021-01-13 02:40:05;1;1
124244754;1409;2021-01-13 02:40:05;4;1
124244754;1122;2021-01-13 02:40:05;1;1
124244754;1408;2021-01-13 02:40:05;4;1
124244754;1405;2021-01-13 02:40:05;4;1
124244754;467;2021-01-13 02:40:05;4;1
124244754;413;2021-01-13 02:40:05;4;1
124244754;1205;2021-01-13 02:40:05;3;1
124244754;414;2021-01-13 02:40:05;4;1
124244754;1406;2021-01-13 02:40:05;4;1
124244754;1210;2021-01-13 02:40:05;3;1
124244754;1303;2021-01-13 02:40:05;1;1
124244754;1114;2021-01-13 02:40:05;3;1
124244754;1115;2021-01-13 02:40:05;1;0.75
