istaigos_kodas;ataskaitinio_laikotarpio_pradzia;ataskaitinio_laikotarpio_pabaiga;gydytojo_id;prisirasiusiu_gyventoju_sk;darbo_valandu_kiekis;iraso_sukurimo_data
124244754;2025-04-01;2025-06-30;10000017;1861;506;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000054;1270;240;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000068;1529;412;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000069;1503;416;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000071;1512;283;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000075;1567;431;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000076;1110;319;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000078;903;374;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000089;1524;411;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000091;1514;428;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000092;1368;375;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000093;1513;426;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000095;930;305;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000096;1120;288;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000101;868;305;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000111;739;198;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000115;902;338;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000154;1336;382;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000157;698;156;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000318;1468;368;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000560;1305;336;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000611;1921;520;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000674;975;377;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000679;923;381;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000719;1446;345;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000737;1399;381;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000740;933;345;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000827;1125;389;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000842;930;370;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10003931;1430;403;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000724;710;265;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10001137;1027;384;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10003072;1009;377;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10002687;1894;520;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10225508;1422;367;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10001797;1359;403;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10004507;1457;400;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10002004;1313;391;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10003325;1353;409;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10020607;490;199;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10003343;1505;364;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10000424;1375;411;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10001991;1422;403;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10254140;646;293;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10007860;1405;411;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10166080;1872;176;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10094817;1892;520;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10213192;1261;326;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10398582;1418;390;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10401246;1501;412;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10006414;987;247;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10008287;1390;410;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10103001;1439;318;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10023400;1291;396;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10459575;1890;528;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10464763;1377;409;2025-07-05 03:10:51
124244754;2025-04-01;2025-06-30;10382275;1537;417;2025-07-05 03:10:51
